idauniq,perid
100035,2
100036,2
100037,2
100038,3
100039,3
100040,2
100041,2
100042,2
100043,3
100044,2
100045,2
100046,2
100047,2
100048,6
100049,2
100050,3
100051,2
100052,2
100053,2
100054,3
100055,3
100056,2
100057,2
100058,2
100059,3
100060,2
100061,2
100062,2
100063,7
100064,3
100065,2
100066,2
100067,3
100068,2
100069,2
100070,5
100071,2
100072,5
100073,3
100074,2
100075,2
100076,2
100077,2
100078,2
100079,2
100080,2
100081,2
100082,2
100083,2
100084,3
100085,2
100086,2
100087,2
100088,2
100089,3
100090,2
100091,2
100092,2
100093,2
100094,3
100095,2
100096,3
100097,2
100098,2
100099,2
100100,3
100101,5
100102,2
100103,3
100104,4
100105,2
100106,2
103712,2
103713,1
103714,1
103715,2
103716,1
103717,1
103718,1
103719,2
103720,1
103721,2
103722,1
103723,1
103724,1
103725,1
103726,1
103727,2
103728,1
103729,2
103730,1
103731,1
103732,1
103733,1
103734,2
103735,2
103736,1
103737,1
103738,2
103739,1
103740,1
103741,2
103742,1
103743,1
103744,1
103745,2
103746,1
103747,1
103748,1
103749,1
103750,1
103751,1
103752,1
103753,2
103754,2
103755,1
103756,1
103757,2
103758,1
103759,2
103760,1
103761,2
103762,1
103763,1
103764,1
103765,2
103766,1
103767,1
103768,2
103769,1
103770,1
103771,1
103772,1
103773,1
103774,1
103775,1
103776,2
103777,2
103778,1
103779,1
103780,1
103781,1
103782,1
103783,2
103784,1
103785,1
103786,2
103787,2
103788,1
103789,2
103790,2
103791,3
103792,1
103793,2
103794,1
103795,2
103796,2
103797,2
103798,1
103799,1
103800,1
103801,1
103802,2
103803,1
103804,1
103805,1
103806,2
103807,1
103808,1
103809,1
103810,1
103811,2
103812,2
103813,4
103814,1
103815,1
103816,1
103817,1
103818,2
103819,2
103820,1
103821,2
103822,2
103823,1
103824,1
103825,2
103826,1
103827,2
103828,2
103829,1
103830,1
103831,1
103832,1
103833,1
103834,2
103835,2
103836,2
103837,1
103838,1
103839,2
103840,1
103841,1
103842,2
103843,1
103844,2
103845,1
103846,1
103847,2
103848,1
103849,1
103850,1
103851,2
103852,2
103853,1
103854,1
103855,1
103856,2
103857,2
103858,1
103859,2
103860,1
103861,2
103862,1
103863,1
103864,1
103865,2
103866,2
103867,2
103868,2
103869,2
103870,1
103871,2
103872,2
103873,2
103874,1
103875,2
103876,1
103877,2
103878,2
103879,1
103880,1
